pid,product_name,start_date,end_date,quantity_to_order,on_order_late, on_order_current,committed,sold,expected_on_hand,on_hand,trend_last9mo
179091,JZ76L Medium Caramel 4.5L,2018-07-24,2018-07-31,0,8.000,0,0,1.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-07-31,2018-08-07,0,8.000,0,0,2.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-08-07,2018-08-14,0,8.000,0,0,2.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-08-14,2018-08-21,0,8.000,0,0,3.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-08-21,2018-08-28,0,8.000,0,0,11.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-08-28,2018-09-04,0,8.000,0,0,5.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-09-04,2018-09-11,0,8.000,0,0,2.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-09-11,2018-09-18,0,8.000,0,0,7.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-09-18,2018-09-25,0,8.000,0,0,3.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-09-25,2018-10-02,0,8.000,0,0,4.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-10-02,2018-10-09,0,8.000,0,0,0,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-10-09,2018-10-16,0,8.000,0,0,3.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-10-16,2018-10-23,0,8.000,0,0,3.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-10-23,2018-10-30,0,8.000,0,0,2.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-10-30,2018-11-06,0,8.000,0,0,1.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-11-06,2018-11-13,0,8.000,0,0,2.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-11-13,2018-11-20,0,8.000,0,0,5.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-11-20,2018-11-27,0,8.000,0,0,1.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-11-27,2018-12-04,0,8.000,0,0,1.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-12-04,2018-12-11,0,8.000,0,0,2.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-12-11,2018-12-18,0,8.000,0,0,1.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-12-18,2018-12-25,0,8.000,0,0,0,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2018-12-25,2019-01-01,0,8.000,0,0,1.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-01-01,2019-01-08,0,8.000,0,0,0,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-01-08,2019-01-15,0,8.000,0,0,0,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-01-15,2019-01-22,0,8.000,0,0,6.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-01-22,2019-01-29,0,8.000,0,0,4.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-01-29,2019-02-05,0,8.000,0,0,6.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-02-05,2019-02-12,0,8.000,0,0,3.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-02-12,2019-02-19,0,8.000,0,0,2.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-02-19,2019-02-26,0,8.000,0,0,4.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-02-26,2019-03-05,0,8.000,0,0,11.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-03-05,2019-03-12,0,8.000,0,0,39.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-03-12,2019-03-19,0,8.000,0,0,13.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-03-19,2019-03-26,0,8.000,0,0,3.000,45.000,55.000,80.42
179091,JZ76L Medium Caramel 4.5L,2019-03-26,2019-04-02,0,8.000,0,0,3.000,45.000,55.000,80.42
179097,JZ76L Medium Caramel 5.5L,2018-06-26,2018-07-03,-58.000,22.000,0,4.000,8.000,62.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-07-03,2018-07-10,0,22.000,0,0,2.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-07-10,2018-07-17,0,22.000,0,0,1.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-07-17,2018-07-24,0,22.000,0,0,7.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-07-24,2018-07-31,0,22.000,0,0,4.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-07-31,2018-08-07,0,22.000,0,0,4.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-08-07,2018-08-14,0,22.000,0,0,9.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-08-14,2018-08-21,0,22.000,0,0,0,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-08-21,2018-08-28,0,22.000,0,0,15.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-08-28,2018-09-04,0,22.000,0,0,17.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-09-04,2018-09-11,0,22.000,0,0,9.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-09-11,2018-09-18,0,22.000,0,0,13.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-09-18,2018-09-25,0,22.000,0,0,3.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-09-25,2018-10-02,0,22.000,0,0,10.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-10-02,2018-10-09,0,22.000,0,0,1.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-10-09,2018-10-16,0,22.000,0,0,8.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-10-16,2018-10-23,0,22.000,0,0,3.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-10-23,2018-10-30,0,22.000,0,0,0,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-10-30,2018-11-06,0,22.000,0,0,1.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-11-06,2018-11-13,0,22.000,0,0,2.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-11-13,2018-11-20,0,22.000,0,0,0,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-11-20,2018-11-27,0,22.000,0,0,0,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-11-27,2018-12-04,0,22.000,0,0,0,58.000,50.000,80.22
